iteration,episode,avg_score,best_avg_score,best_score
0,1,-28.047811989643684,-28.047811989643684
1,2,-44.843692496296896,-28.047811989643684
2,3,-43.16246161495354,-28.047811989643684
3,4,-35.83347082093543,-28.047811989643684
4,5,-42.284352017102364,-28.047811989643684
5,6,-42.55354223757276,-28.047811989643684
6,7,-37.95768022242673,-28.047811989643684
7,8,-36.02333299652847,-28.047811989643684
8,9,-33.81315337439722,-28.047811989643684
9,10,-28.750873891296187,-28.047811989643684
10,11,-24.34230242733922,-24.34230242733922
11,12,-26.517225076394283,-24.34230242733922
12,13,-28.025002891459167,-24.34230242733922
13,14,-26.540409879888106,-24.34230242733922
14,15,-26.623778631407262,-24.34230242733922
15,16,-27.683116008851613,-24.34230242733922
16,17,-28.381494269499722,-24.34230242733922
17,18,-26.412761972972,-24.34230242733922
18,19,-26.572321307327847,-24.34230242733922
19,20,-27.12844364210087,-24.34230242733922
20,21,-28.51701684287304,-24.34230242733922
21,22,-28.84821113551491,-24.34230242733922
22,23,-29.61123811610867,-24.34230242733922
23,24,-30.026738904669845,-24.34230242733922
24,25,-27.80484172409418,-24.34230242733922
25,26,-27.45915880712391,-24.34230242733922
26,27,-28.02935959467122,-24.34230242733922
27,28,-28.20912625005609,-24.34230242733922
28,29,-27.73529292808723,-24.34230242733922
29,30,-27.44569641283217,-24.34230242733922
30,31,-27.982328025208517,-24.34230242733922
31,32,-28.099548851401003,-24.34230242733922
32,33,-28.348720279870655,-24.34230242733922
33,34,-28.461269346981794,-24.34230242733922
34,35,-28.181145934574506,-24.34230242733922
35,36,-29.011777082056955,-24.34230242733922
36,37,-28.58536604761371,-24.34230242733922
37,38,-28.458889332558712,-24.34230242733922
38,39,-28.32675943534926,-24.34230242733922
39,40,-28.65928886897975,-24.34230242733922
40,41,-28.79430691063571,-24.34230242733922
41,42,-27.818000307974682,-24.34230242733922
42,43,-27.37524869026003,-24.34230242733922
43,44,-27.80463368284102,-24.34230242733922
44,45,-28.04196699575916,-24.34230242733922
45,46,-27.697616160649364,-24.34230242733922
46,47,-27.085538978354688,-24.34230242733922
47,48,-27.069723555795566,-24.34230242733922
48,49,-27.262356510394774,-24.34230242733922
49,50,-27.358362169315736,-24.34230242733922
50,51,-27.33080449250425,-24.34230242733922
51,52,-26.624677198402825,-24.34230242733922
52,53,-23.273268194659376,-23.273268194659376
53,54,-23.082565218846565,-23.082565218846565
54,55,-23.180929163240492,-23.082565218846565
55,56,-23.180960534260898,-23.082565218846565
56,57,-23.093685099583258,-23.082565218846565
57,58,-23.191515881853935,-23.082565218846565
58,59,-23.26988223219513,-23.082565218846565
59,60,-23.320163521496042,-23.082565218846565
60,61,-23.7516916251392,-23.082565218846565
