iteration,episode,avg_score,best_avg_score,best_score,hours_took
771,1,-1.1676080347818083,-1.1676080347818083,0.02
772,2,-0.6434130605705324,-0.6434130605705324,0.03
773,3,-0.7779737319225823,-0.6434130605705324,0.05
774,4,-0.8506441335274074,-0.6434130605705324,0.06
775,5,-0.882412851987809,-0.6434130605705324,0.08
776,6,-0.8287615729013553,-0.6434130605705324,0.09
777,7,-0.8733364536045727,-0.6434130605705324,0.11
778,8,-0.9618650191033337,-0.6434130605705324,0.12
779,9,-0.9872295857271686,-0.6434130605705324,0.13
780,10,-0.9701046388692556,-0.6434130605705324,0.15
781,11,-1.0231615677921306,-0.6434130605705324,0.16
782,12,-1.0323738699835134,-0.6434130605705324,0.18
783,13,-1.0255169162670787,-0.6434130605705324,0.19
784,14,-1.0271026836594932,-0.6434130605705324,0.2
785,15,-1.0635636704288762,-0.6434130605705324,0.22
786,16,-1.057121555835403,-0.6434130605705324,0.23
787,17,-1.0422990371380398,-0.6434130605705324,0.25
788,18,-1.0461085973472155,-0.6434130605705324,0.26
789,19,-1.0620908840639898,-0.6434130605705324,0.28
790,20,-1.0521980623112541,-0.6434130605705324,0.29
791,21,-1.0776003635512286,-0.6434130605705324,0.31
792,22,-1.05222724724436,-0.6434130605705324,0.32
793,23,-1.05666948158986,-0.6434130605705324,0.33
794,24,-1.0591894466452152,-0.6434130605705324,0.35
795,25,-1.0409270120281504,-0.6434130605705324,0.36
796,26,-1.027142784793484,-0.6434130605705324,0.38
797,27,-1.0126248602937036,-0.6434130605705324,0.39
798,28,-1.0228967179482762,-0.6434130605705324,0.4
799,29,-0.9966590104275797,-0.6434130605705324,0.42
800,30,-1.014432667613961,-0.6434130605705324,0.43
801,31,-1.024646261145754,-0.6434130605705324,0.45
802,32,-1.0327092740706398,-0.6434130605705324,0.46
803,33,-1.0439635191632601,-0.6434130605705324,0.47
804,34,-1.0172308215179047,-0.6434130605705324,0.49
805,35,-1.0082770412968647,-0.6434130605705324,0.5
806,36,-0.9875160839932422,-0.6434130605705324,0.52
807,37,-0.9868266606825926,-0.6434130605705324,0.53
808,38,-0.9662018794645053,-0.6434130605705324,0.55
809,39,-0.9460128523670189,-0.6434130605705324,0.57
810,40,-0.9336937331283162,-0.6434130605705324,0.58
